collection,Address,AlbumId,ArtistId,BillingAddress,BillingCity,BillingCountry,BillingPostalCode,BillingState,BirthDate,Bytes,City,Company,Composer,Country,CustomerId,Email,EmployeeId,Fax,FirstName,GenreId,HireDate,InvoiceDate,InvoiceId,InvoiceLineId,LastName,MediaTypeId,Milliseconds,Name,Phone,PlaylistId,PostalCode,Quantity,ReportsTo,State,SupportRepId,Title,Total,TrackId,UnitPrice
Genre,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,
Artist,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
PlaylistTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Album,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,
Customer,X,,,,,,,,,,X,X,,X,X,X,,X,X,,,,,,X,,,,X,,X,,,X,X,,,,
Employee,X,,,,,,,,X,,X,,,X,,X,X,X,X,,X,,,,X,,,,X,,X,,X,X,,X,,,
Track,,X,,,,,,,,X,,,X,,,,,,,X,,,,,,X,X,X,,,,,,,,,,X,X
Invoice,,,,X,X,X,X,X,,,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,X,,
MediaType,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,
InvoiceLine,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X
